Time(ms),GyroX,GyroY,GyroZ
958666,0.12,0.37,-0.06
958769,0.06,0.06,-0.12
958873,-0.12,0.37,0.00
958978,0.00,0.12,-0.12
959082,-0.06,0.18,0.00
959187,-0.06,0.12,0.00
959291,-0.12,0.12,-0.06
959396,-0.06,0.12,-0.12
959499,-0.06,0.06,-0.06
959604,-0.12,0.12,0.00
959708,-0.12,0.00,-0.24
959812,-0.12,0.18,0.00
959915,-0.06,0.12,0.00
960019,-0.06,0.18,-0.06
960124,-0.12,0.18,0.00
960228,-0.06,0.06,-0.06
960332,-0.18,0.31,0.00
960437,-0.06,0.12,-0.12
960542,-0.12,0.18,0.00
960646,-0.06,0.24,0.00
960749,-0.12,0.24,-0.06
960853,-0.06,0.18,0.00
960957,-0.06,0.12,-0.06
961062,-0.06,0.18,-0.06
961166,-0.06,0.06,-0.12
961269,-0.12,0.31,0.00
961373,-0.06,0.12,-0.06
961479,0.00,0.12,-0.06
961581,0.00,0.18,-0.06
961686,-0.06,0.18,-0.06
961790,-0.06,0.06,-0.06
961893,-0.18,0.31,0.00
961998,0.00,0.18,0.00
962102,0.00,0.12,0.00
962206,-0.06,0.12,0.00
962310,-0.12,0.12,0.00
962414,0.00,0.06,0.00
962519,-0.12,0.06,0.00
962623,0.00,0.06,-0.06
962728,0.00,0.00,-0.18
962831,-0.06,0.24,-0.06
962937,-0.06,0.06,0.00
963040,-0.06,0.12,-0.06
963145,-0.06,0.12,0.00
963250,-0.18,0.18,0.00
963355,-0.06,0.18,-0.06
963460,0.00,0.18,-0.12
963564,-0.06,0.31,-0.06
963669,-0.06,0.18,0.00
963772,-0.12,0.18,-0.06
963876,-0.12,0.24,-0.06
963981,-0.06,0.24,0.06
964085,0.37,-0.79,-0.12
964189,0.06,-0.73,-0.24
964294,0.06,0.37,-0.37
964398,0.00,-0.12,-0.12
964504,0.06,-0.18,-0.06
964607,0.12,0.18,-0.06
964710,-0.24,0.06,0.00
964815,0.79,-1.04,0.24
964920,-0.67,-1.04,0.61
